TransactionID,Date,AccountID,AccountName,TransactionType,Amount,Currency,ExchangeRate,Balance,Merchant,MerchantPhone,MerchantEmail,Category,Subcategory,Country,City,PostalCode,CardNumber,Email,Phone,IsFraud,Notes,Amount_Base
TX104361,2024-10-13,AC4603,Raj Kumar,Refund,12.31,INR,1.0,2419825.46,Zomato,9808807153.0,zomato@biz.com,Education,Books,UK,Noida,943828,XXXX-XXXX-XXXX-3858,raj.kumar@gmail.com,7960179727.0,No,promo applied,12.31
TX105135,2023-11-01,AC1978,Dev Bose,Debit,35.17,AED,19.8767,2678063.64,Flipkart,6699009169.0,flipkart@biz.com,Entertainment,Concert,USA,Mumbai,541596,XXXX-XXXX-XXXX-7809,dev.bose@yahoo.com,5771717716.0,No,repeat purchase,699.06
TX102862,2025-02-24,AC6736,suresh ROY,Credit,8.82,AED,20.55,1626685.13,Paytm Mall,-7725198158.0,paytmmall@biz.com,Dining,Restaurant,Canada,Pune,363091,XXXX-XXXX-5376,nan,-5856285767.0,No,repeat purchase,181.25
TX100059,2024-05-03,AC7201,Lina Chopra,Credit,106.77,INR,1.0,144093.87,Walmart,9515266074.0,walmart@biz.com,Automotive,Fuel,India,Delhi,569390,XXXX-XXXX-3817,lina.chopra@gmail.com,2148585218.0,No,repeat purchase,106.77
TX101306,2024-08-25,AC3643,Sana Kumar,Credit,34.25,USD,81.3081,965108.08,Starbucks,3217013192.0,starbucks@biz.com,Entertainment,Streaming,Canada,Bengaluru,313942,XXXX-XXXX-1286,sana.kumar@yahoo.com,8285425328.0,No,chargeback requested,2784.8
TX105440,2024-09-12,AC3521,Asha Das,Debit,16.08,USD,80.4133,2783810.24,Shopeasy,2414487847.0,shopeasy@biz.com,Groceries,Supermarket,UK,Jaipur,244894,4.81928E+15,asha.das@gmail.com,2421026890.0,No,repeat purchase,1293.05
TX104539,2025-06-20,AC3852,Suresh Khan,Debit,83.05,INR,1.0,2464156.5,Zomato,3034529728.0,zomato@biz.com,Utilities,Internet,UK,Jaipur,639702,XXXX-XXXX-XXXX-4331,suresh.khan@example.com,-9297816406.0,No,suspected fraud,83.05
TX104915,2024-10-10,AC9262,Lina Khan,Debit,42.68,USD,76.2602,2582959.57,Electroworld,6028962435.0,electroworld@biz.com,Automotive,Repair,UK,Jaipur,418828,XXXX-XXXX-XXXX-9478,lina.khan@yahoo.com,5630209429.0,No,cashback credited,3254.79
TX105847,2024-05-10,AC4073,Raj Sharma,Debit,10.04,INR,1.0,2913880.06,Bigbasket,323250652.0,bigbasket@biz.com,Education,Course,India,Mumbai,943210,XXXX-XXXX-XXXX-4864,raj.sharma@yahoo.com,-4272682811.0,No,monthly subscription,10.04
TX104626,2024-11-14,AC2149,Asha Bose,Credit,14.87,AED,21.1947,2466729.79,Myntra,4807851195.0,myntra@biz.com,Electronics,Laptop,Canada,Mumbai,218025,XXXX-XXXX-XXXX-1963,asha.bose@hotmail.com,-2848087356.0,No,chargeback requested,315.17
TX101715,2024-12-14,AC4305,Dev Chopra,Refund,29.71,GBP,92.4582,1105545.33,Myntra,4807851195.0,myntra@biz.com,Entertainment,Concert,USA,Hyderabad,554639,XXXX-XXXX-8772,dev.chopra@yahoo.com,9782333274.0,No,chargeback requested,2746.93
TX100452,2025-05-16,AC6768,Rohit Kumar,Debit,10.15,USD,80.4977,258911.96,Bigbasket,6063501916.0,bigbasket@biz.com,Entertainment,Concert,UK,Chennai,143661,XXXX-XXXX-3040,rohit.kumar@hotmail.com,2303906802.0,No,monthly subscription,817.05
TX104116,2024-04-16,AC1034,Asha Josh,Debit,24.75,GBP,98.6922,2235670.04,Swiggy,7525993573.0,swiggy@biz.com,Utilities,Internet,UAE,Bengaluru,744734,XXXX-XXXX-4893,asha.josh@hotmail.com,2991572575.0,No,promo applied,2442.63
TX105514,2024-08-31,AC5013,Anita Gupta,Debit,139.02,AED,20.2535,2866366.7,Localmart,794896056.0,localmart@biz.com,Groceries,Specialty,UAE,Hyderabad,354224,XXXX-XXXX-6573,anita.gupta@gmail.com,2406066923.0,No,cashback credited,2815.64
TX101649,2025-08-26,AC2769,Neha Nair,Debit,740.61,INR,1.0,1077085.21,Electroworld,-529928323.0,electroworld@biz.com,Education,Books,USA,Noida,282732,XXXX-XXXX-6916,neha.nair@gmail.com,3172828875.0,No,manual adjustment,740.61
TX105205,2025-08-19,AC7600,Uma Iyer,Debit,89.36,INR,1.0,2680617.09,Electroworld,6028962435.0,electroworld@biz.com,Travel,Taxi,UAE,Hyderabad,512697,XXXX-XXXX-1912,uma.iyer@example.com,9635182434.0,No,cashback credited,89.36
TX104282,2024-05-27,AC5218,Amit Patel,Debit,133.12,USD,77.0508,2254897.65,Paytm Mall,-712201363.0,paytmmall@biz.com,Entertainment,Movies,Australia,Mumbai,602529,nan,amit.patel@hotmail.com,-3145028308.0,No,promo applied,10257.0
TX101031,2023-10-11,AC1135,Maya Joshi,Debit,4.47,INR,1.0,541895.17,Zomato,-4387810551.0,zomato@biz.com,Automotive,Fuel,USA,Bengaluru,458075,4.50287E+15,maya.joshigmail.com,4424097058.0,No,manual adjustment,4.47
TX100893,2023-11-12,AC7170,Neha Singh,Debit,134.71,USD,74.1184,528842.12,Shopeasy,9150633421.0,shopeasy@biz.com,Utilities,Internet,UK,Bengaluru,313942,XXXX-XXXX-4783,neha.singh@example.com,6814108886.0,No,promo applied,9984.49
TX102732,2024-04-08,AC8986,Karan Bose,Credit,65.07,GBP,108.1853,1604589.22,Zomato,3427223556.0,zomato@biz.com,Automotive,Fuel,Canada,Noida,292,XXXX-XXXX-1048,karan.bose@gmail.com,8362382850.0,No,repeat purchase,7039.62
TX105933,2023-12-30,AC8042,Asha Patel,Refund,2.06,INR,1.0,2933789.49,Shopeasy,7855678102.0,shopeasy@biz.com,Clothing,Men,Australia,Delhi,258380,4.53047E+15,asha.patel@hotmail.com,5503926928.0,No,monthly subscription,2.06
TX104336,2024-08-06,AC8501,Dev Reddy,Debit,4.51,INR,1.0,2419281.82,Walmart,9515266074.0,walmart@biz.com,Health,Pharmacy,Canada,Gurugram,907823,XXXX-XXXX-XXXX-4101,dev.reddy@example.com,1078805253.0,No,monthly subscription,4.51
TX105780,2024-08-08,AC3357,Rohit Ds,Debit,7.55,USD,77.3263,2902688.84,Starbucks,-5510700080.0,starbucks@biz.com,Clothing,Men,UAE,Chennai,823309,XXXX-XXXX-XXXX-4131,rohit.ds@gmail.com,5051471297.0,No,promo applied,583.81
TX100244,2025-05-27,AC8081,Rahul Das,Debit,7.84,AED,19.3642,182816.74,Paytm Mall,6118959144.0,paytmmall@biz.com,Clothing,Women,USA,Pune,938833,4.84125E+15,rahul.das@gmail.com,-9141358274.0,No,manual adjustment,151.82
TX103008,2024-07-10,AC4519,Priya Roy,Refund,121.42,GBP,108.7271,1642302.73,Swiggy,3168396315.0,swiggy@biz.com,Health,Pharmacy,India,Hyderabad,406227,XXXX-XXXX-3579,priya.roy@gmail.com,-6687083298.0,No,chargeback requested,13201.64
TX104954,2025-02-13,AC5128,Asha Sharma,Credit,49.02,USD,75.4365,2593087.77,Paytm Mall,-529928323.0,paytmmall@biz.com,Clothing,Men,UAE,Jaipur,904363,XXXX-XXXX-7122,asha.sharma@yahoo.com,2964483564.0,No,repeat purchase,3697.9
TX105439,2024-08-17,AC3215,raj GUPTA,Debit,30.81,INR,1.0,2783802.2,Bigbasket,4928024694.0,bigbasket@biz.com,Groceries,Specialty,India,Noida,252321,XXXX-XXXX-4048,nan,-596332663.0,No,nan,30.81
TX104242,2023-12-09,AC9059,Dev Joshi,Refund,16.32,USD,78.6113,2249308.1,Shopeasy,3493827383.0,shopeasy@biz.com,Clothing,Men,USA,Mumbai,163619,XXXX-XXXX-7597,dev.joshi@gmail.com,5703662729.0,No,promo applied,1282.94
TX100149,2024-03-31,AC3436,Priya Iyer,Debit,47.29,INR,1.0,159515.16,Amazon,9266232769.0,amazon@biz.com,Dining,FastFood,Australia,Bengaluru,404947,XXXX-XXXX-9133,priya.iyer@hotmail.com,8862075064.0,No,monthly subscription,47.29
TX100968,2025-02-03,AC4055,Vikram Iyer,Refund,31.56,AED,18.4318,538125.35,Zomato,9808807153.0,zomato@biz.com,Entertainment,Concert,UK,Mumbai,366839,XXXX-XXXX-XXXX-4395,vikram.iyer@example.com,-1359070095.0,No,monthly subscription,581.71
TX101172,2023-10-31,AC2103,Uma Chopra,Debit,37.53,INR,1.0,558165.12,Zomato,1351242622.0,zomato@biz.com,Entertainment,Streaming,UK,Hyderabad,601894,XXXX-XXXX-6321,uma.chopra@gmail.com,-5898306104.0,No,repeat purchase,37.53
TX101078,2024-09-27,AC7583,Maya Joshi,Credit,200.52,GBP,102.9324,554069.5,Electroworld,1002166841.0,electroworld@biz.com,Dining,FastFood,India,Bengaluru,906964,XXXX-XXXX-4394,maya.joshi@hotmail.com,9831713544.0,No,promo applied,20640.0
TX100607,2025-04-11,AC5277,Lina Khan,Debit,7.44,AED,18.9825,280484.11,Bigbasket,1928802600.0,bigbasket@biz.com,Clothing,Men,Australia,Bengaluru,237925,XXXX-XXXX-3660,lina.khan@yahoo.com,9584325325.0,No,cashback credited,141.23
TX103306,2024-01-11,AC1069,Rahul Khan,Debit,62.7,USD,75.2344,1807800.08,Localmart,-2702289999.0,localmart@biz.com,Entertainment,Concert,Australia,Gurugram,891887,XXXX-XXXX-XXXX-3484,rahul.khan@example.com,-8834441539.0,No,cashback credited,4717.2
TX103893,2025-05-03,AC4141,Sana Kumar,Debit,3.35,INR,1.0,2119765.95,Paytm Mall,6495084910.0,paytmmall@biz.com,Electronics,Laptop,UAE,Pune,368236,XXXX-XXXX-XXXX-9148,sana.kumar@gmail.com,91534078.0,No,nan,3.35
TX104025,2025-03-19,AC4460,Amit Reddy,Credit,22.6,INR,1.0,2230268.97,Shopeasy,9150633421.0,shopeasy@biz.com,Groceries,Specialty,Australia,Delhi,212464,XXXX-XXXX-XXXX-2667,amit.reddy@yahoo.com,3337649748.0,No,chargeback requested,22.6
TX103307,2025-03-12,AC5363,Amit Das,Credit,51.11,GBP,104.2049,1807774.53,Myntra,4807851195.0,myntra@biz.com,Entertainment,Streaming,Canada,Bengaluru,112110,XXXX-XXXX-3058,amit.das@hotmail.com,1867597990.0,Yes,repeat purchase,5325.91
TX103313,2025-07-14,AC3705,Raj Joshi,Debit,9.8,USD,81.3277,1808167.79,Walmart,7168713199.0,walmart@biz.com,Automotive,Repair,UK,Kolkata,195972,nan,raj.joshi@gmail.com,7493558172.0,No,-- verify contact support,797.01
TX100962,2024-12-31,AC2315,Raj Gupta,Debit,41.92,USD,72.1534,537998.07,Bigbasket,323250652.0,bigbasket@biz.com,Utilities,Electricity,UK,Noida,740685,XXXX-XXXX-2383,raj.gupta@example.com,6381948606.0,No,manual adjustment,3024.67
TX105061,2024-09-16,AC6036,Vikram Joshi,Credit,116.31,USD,80.1416,2626456.33,Amazon,902058342.0,amazon@biz.com,Entertainment,Movies,UAE,Hyderabad,107274,XXXX-XXXX-XXXX-7441,vikram.joshigmail.com,-5380982778.0,No,repeat purchase,9321.27
TX104017,2024-01-24,AC8062,Ritu Bose,Debit,76.36,USD,79.4491,2229955.54,Localmart,3991186648.0,localmart@biz.com,Utilities,Internet,UAE,Chennai,394793,XXXX-XXXX-5744,ritu.bose@example.com,8345440986.0,No,monthly subscription,6066.73
TX104877,2023-12-29,AC5922,Asha Roy,Debit,55.63,USD,78.1248,2582097.81,Reliance,-2681063350.0,reliance@biz.com,Travel,Flight,UK,Gurugram,356250,XXXX-XXXX-3040,asha.roy@example.com,1266866191.0,No,chargeback requested,4346.08
TX102017,2023-11-23,AC7927,Sam Mehta,Credit,2.99,GBP,108.6389,1198244.24,Flipkart,-6699009169.0,flipkart@biz.com,Automotive,Repair,UAE,Gurugram,350578,XXXX-XXXX-1617,sam.mehta@yahoo.com,4274247476.0,No,repeat purchase,324.83
TX101128,2023-12-18,AC4123,Sam Roy,Debit,30.66,USD,74.8373,556084.2,Swiggy,3778904586.0,swiggy@biz.com,Groceries,Supermarket,USA,Mumbai,948305,XXXX-XXXX-1512,sam.roy@gmail.com,2884957790.0,No,nan,2294.51
TX100996,2024-10-30,AC3680,Rahul Bose,Refund,286.35,USD,76.854,540444.3,Reliance,2553367092.0,reliance@biz.com,Clothing,Men,USA,Kolkata,891724,XXXX-XXXX-5775,rahul.bose@example.com,-4077668631.0,No,repeat purchase,22007.14
TX102441,2024-08-16,AC2190,Sana Singh,Debit,173.77,AED,20.0875,1412964.73,Paytm Mall,7891748562.0,paytmmall@biz.com,Education,Course,USA,Chennai,954820,XXXX-XXXX-6036,sana.singh@yahoo.com,7728666343.0,No,repeat purchase,3490.6
TX100183,2024-12-01,AC2061,Priya Singh,Debit,59.08,USD,72.0087,160861.6,Starbucks,-4270275891.0,starbucks@biz.com,Electronics,Laptop,Canada,Delhi,779639,XXXX-XXXX-2396,priya.singh@yahoocom,-6268886505.0,No,suspected fraud,4254.27
TX103580,2023-11-13,AC6576,Anita Iyer,Debit,424.0,INR,1.0,1985416.59,Bigbasket,-6294899110.0,bigbasket@biz.com,Automotive,Fuel,UAE,Hyderabad,498331,XXXX-XXXX-6943,anita.iyer@hotmail.com,1520837599.0,No,repeat purchase,424.0
TX102573,2024-06-26,AC9655,Arjun Patel,Credit,31.18,GBP,93.8799,1558063.5,Reliance,6381948606.0,reliance@biz.com,Clothing,Women,UAE,Mumbai,767751,XXXX-XXXX-4688,arjun.patel@hotmail.com,8885464699.0,No,chargeback requested,2927.18
TX105750,2025-06-24,AC1413,Rohit Reddy,Debit,31.37,INR,1.0,2902030.33,Shopeasy,3180444546.0,shopeasy@biz.com,Clothing,Women,USA,Gurugram,260401,XXXX-XXXX-7279,rohit.reddy@example.com,6635535456.0,No,suspected fraud,31.37
TX101690,2024-01-22,AC3148,Lina Patel,Debit,66.96,INR,1.0,1078153.24,Zomato,9808807153.0,zomato@biz.com,Electronics,Laptop,India,Pune,992600,XXXX-XXXX-5584,lina.patel@example.com,215016757.0,No,suspected fraud,66.96
TX103556,2025-06-23,AC9559,Raj Chopra,Debit,71.43,INR,1.0,1984854.17,Amazon,9366847739.0,amazon@biz.com,Entertainment,Concert,India,Mumbai,793747,XXXX-XXXX-7502,raj.chopra@example.com,9772672278.0,No,cashback credited,71.43
TX103790,2025-09-03,AC9558,Ritu Chopra,Refund,66.91,INR,1.0,2118056.02,Swiggy,7525993573.0,swiggy@biz.com,Electronics,Laptop,Canada,Jaipur,844795,XXXX-XXXX-4043,ritu.chopra@gmail.com,-9498584097.0,No,repeat purchase,66.91
TX104783,2024-02-14,AC9402,Asha Reddy,Refund,10.23,GBP,92.614,2538337.99,Swiggy,-5256653989.0,swiggy@biz.com,Education,Course,Australia,Gurugram,623428,XXXX-XXXX-8719,asha.reddy@hotmail.com,7099932495.0,No,suspected fraud,947.44
TX101208,2023-12-15,AC7841,Neha Patel,Debit,6.15,USD,78.2158,593592.13,Flipkart,3413322508.0,flipkart@biz.com,Utilities,Electricity,USA,Mumbai,801979,XXXX-XXXX-XXXX-8934,neha.patel@hotmail.com,5428150974.0,No,monthly subscription,481.03
TX102582,2023-11-22,AC7891,Suresh Joshi,Credit,31.07,USD,78.395,1558830.66,Autozone,4475599852.0,autozone@biz.com,Education,Course,Australia,Chennai,559867,XXXX-XXXX-4192,suresh.joshi@yahoo.com,-3007633270.0,No,chargeback requested,2435.73
TX101015,2024-05-30,AC6421,Karan Joshi,Debit,41.99,USD,80.671,541363.91,Electroworld,7828954654.0,electroworld@biz.com,Dining,Cafe,UK,Gurugram,542517,XXXX-XXXX-XXXX-9899,karan.joshi@gmail.com,-1774988281.0,No,repeat purchase,3387.38
TX101216,2024-10-18,AC9745,Ritu Singh,Debit,14.76,AED,20.6941,593608.93,Paytm Mall,5209613380.0,paytmmall@biz.com,Dining,Cafe,India,Jaipur,676000,XXXX-XXXX-XXXX-2954,ritu.singh@example.com,3546134212.0,No,cashback credited,305.44
TX104572,2024-09-21,AC4530,uma DAS,Debit,87.42,USD,82.3036,2465179.51,Bigbasket,323250652.0,bigbasket@biz.com,Electronics,Mobile,Canada,Mumbai,192999,XXXX-XXXX-4591,uma.das@hotmail.com,6096763812.0,No,cashback credited,7194.98
TX101390,2025-02-24,AC2624,sam KUMAR,Credit,57.51,USD,79.4537,975017.93,Localmart,676286112.0,localmart@biz.com,Education,Books,Australia,Mumbai,876388,XXXX-XXXX-7221,sam.kumar@hotmail.com,4963289598.0,No,cashback credited,4569.38
TX103911,2024-12-06,AC2360,Uma Singh,Credit,43.04,INR,1.0,2120376.67,Zomato,-5480980470.0,zomato@biz.com,Dining,FastFood,Australia,Chennai,828458,XXXX-XXXX-5414,uma.singh@yahoo.com,-6551297309.0,No,repeat purchase,43.04
TX100739,2023-12-21,AC6971,Amit Mehta,Debit,111.86,INR,1.0,441710.35,Shopeasy,1815762701.0,shopeasy@biz.com,Clothing,Women,Canada,Gurugram,583892,XXXX-XXXX-9814,amit.mehta@hotmail.com,5649290947.0,No,nan,111.86
TX105577,2025-02-13,AC6735,Lina Sharma,Credit,41.76,INR,1.0,2868221.09,Zomato,9808807153.0,zomato@biz.com,Entertainment,Concert,UAE,Gurugram,183,XXXX-XXXX-XXXX-2385,lina.sharma@gmail.com,9121506942.0,No,promo applied,41.76
TX104882,2024-05-14,AC5526,Raj Das,Debit,11.91,GBP,106.2813,2582304.63,Swiggy,5285135032.0,swiggy@biz.com,Entertainment,Streaming,India,Hyderabad,326562,XXXX-XXXX-5551,raj.das@hotmail.com,4198398271.0,No,manual adjustment,1265.81
TX101817,2023-12-20,AC1304,Uma Bose,Debit,13.97,USD,72.048,1131438.52,Flipkart,1660994989.0,flipkart@biz.com,Clothing,Women,UAE,Hyderabad,346032,XXXX-XXXX-4463,uma.bose@hotmail.com,22904022.0,No,repeat purchase,1006.51
TX104454,2024-06-28,AC4649,Rahul Iyer,Refund,151.59,INR,1.0,2462069.16,Localmart,8086146786.0,localmart@biz.com,Electronics,Accessory,UK,Delhi,219596,XXXX-XXXX-XXXX-5727,rahul.iyer@example.com,1800581411.0,No,suspected fraud,151.59
TX102290,2024-03-13,AC9656,lina DAS,Debit,266.85,INR,1.0,1271368.07,Paytm Mall,3460503460.0,paytmmall@biz.com,Education,Course,UAE,Mumbai,442179,4.76425E+15,lina.das@hotmail.com,9930420993.0,No,nan,266.85
TX100135,2025-01-23,AC8259,Sana Khan,Refund,212.71,GBP,97.335,155509.42,Starbucks,97731861.0,starbucks@biz.com,Education,Course,Canada,Noida,677623,4.10613E+15,sana.khan@yahoo.com,7214813343.0,No,cashback credited -- verify contact support,20704.13
TX101442,2025-04-20,AC2085,Suresh Desai,Debit,41.15,USD,82.4542,976444.62,Bigbasket,323250652.0,bigbasket@biz.com,Automotive,Repair,Australia,Hyderabad,626722,XXXX-XXXX-1991,suresh.desai@example.com,4417166483.0,No,cashback credited -- verify contact support,3392.99
TX103036,2023-09-23,AC6077,Vikram Reddy,Credit,21.95,GBP,93.9114,1652243.2,Starbucks,5617140454.0,starbucks@biz.com,Education,Books,India,Noida,232746,XXXX-XXXX-9558,vikram.reddy@yahoo.com,5714705011.0,No,suspected fraud,2061.36
TX105724,2024-06-08,AC1780,Isha Kumar,Debit,19.35,INR,1.0,2901617.31,Reliance,1701086776.0,reliance@biz.com,Education,Course,India,Bengaluru,452781,XXXX-XXXX-XXXX-9892,isha.kumar@gmail.com,8564343191.0,No,repeat purchase,19.35
TX104603,2025-08-04,AC8468,Dev Iyer,Credit,159.82,USD,74.2505,2466130.77,Localmart,7401571126.0,localmart@biz.com,Groceries,Supermarket,Canada,Noida,997488,XXXX-XXXX-XXXX-1466,dev.iyer@gmail.com,2549072389.0,No,repeat purchase,11866.71
TX103351,2024-06-18,AC7652,Asha Patel,Credit,22.0,USD,74.1723,1823671.89,Flipkart,3789964216.0,flipkart@biz.com,Education,Course,UAE,Kolkata,746298,XXXX-XXXX-2337,asha.patel@yahoo.com,3852247048.0,No,suspected fraud,1631.79
TX104736,2023-12-20,AC7176,Suresh Joshi,Debit,12.82,USD,78.9386,2514468.82,Electroworld,5843488303.0,electroworld@biz.com,Electronics,Accessory,USA,Chennai,160292,XXXX-XXXX-XXXX-7954,suresh.joshi@hotmail.com,8282249210.0,No,nan,1011.99
TX102371,2024-07-05,AC2464,Amit Singh,Debit,17.15,INR,1.0,1284760.12,Amazon,601282578.0,amazon@biz.com,Automotive,Repair,Australia,Hyderabad,665433,XXXX-XXXX-6938,amit.singh@yahoo.com,6457036653.0,No,cashback credited,17.15
TX100718,2025-02-09,AC1524,Nha Khan,Credit,21.41,INR,1.0,441298.51,Localmart,676286112.0,localmart@biz.com,Automotive,Repair,Australia,Jaipur,802624,XXXX-XXXX-7075,nha.khan@hotmail.com,2384093536.0,No,promo applied,21.41
TX101741,2024-07-08,AC9656,Maya Singh,Refund,27.04,AED,19.5658,1143250.93,Paytm Mall,5491777509.0,paytmmall@biz.com,Dining,FastFood,Canada,Noida,997986,XXXX-XXXX-XXXX-9786,maya.singh@yahoo.com,7445818359.0,No,chargeback requested,529.06
TX105025,2024-08-10,AC1619,Sam Khan,Refund,7.53,INR,1.0,2625259.39,Flipkart,926567951.0,flipkart@biz.com,Groceries,Supermarket,UAE,Delhi,185591,XXXX-XXXX-XXXX-9256,sam.khan@gmail.com,3214380338.0,No,repeat purchase,7.53
TX100008,2024-01-20,AC8380,Karan Gupta,Credit,18.85,INR,1.0,9630.77,Localmart,676286112.0,localmart@biz.com,Dining,Restaurant,India,Hyderabad,552533,XXXX-XXXX-XXXX-3300,karan.gupta@example.com,2597454993.0,No,chargeback requested,18.85
TX105158,2025-07-02,AC7221,Neha Joshi,Refund,26.55,AED,21.6973,2679258.09,Localmart,4686349025.0,localmart@biz.com,Education,Books,UAE,Mumbai,793747,XXXX-XXXX-9261,neha.joshi@example.com,5762598723.0,No,promo applied,576.06
TX105655,2025-02-22,AC8390,Ritu Singh,Debit,12.59,USD,80.0191,2873879.72,Zomato,-9931272789.0,zomato@biz.com,Health,Clinic,USA,Pune,950282,XXXX-XXXX-5406,ritu.singh@yahoo.com,340861617.0,No,repeat purchase,1007.44
TX105996,2023-09-12,AC8311,Karan Das,Debit,132.05,INR,1.0,2936292.47,Shopeasy,9150633421.0,shopeasy@biz.com,Electronics,Laptop,USA,Jaipur,280765,4.56643E+15,karan.das@example.com,-7871265845.0,No,suspected fraud,132.05
TX105424,2024-09-26,AC5730,Raj Chopra,Credit,26.76,GBP,103.2226,2775577.18,Starbucks,3913113314.0,starbucks@biz.com,Electronics,Accessory,India,Gurugram,804489,XXXX-XXXX-XXXX-5776,nan,9686127907.0,No,monthly subscription,2762.24
TX100658,2025-05-02,AC4558,Sam Patel,Debit,42.0,AED,19.7965,434795.16,Paytm Mall,9218165460.0,paytmmall@biz.com,Health,Clinic,UK,Delhi,542967,XXXX-XXXX-XXXX-9882,sam.patel@gmail.com,1103719244.0,No,manual adjustment,831.45
TX101966,2025-05-08,AC7789,Asha Joshi,Debit,26.13,USD,72.1281,1170364.46,Amazon,9266232769.0,amazon@biz.com,Dining,Cafe,Canada,Mumbai,430125,XXXX-XXXX-3072,asha.joshiyahoo.com,2610524342.0,No,nan,1884.71
TX101585,2025-02-25,AC5650,Uma Roy,Credit,76.08,USD,79.3054,1008377.25,Swiggy,514836786.0,swiggy@biz.com,Clothing,Men,Australia,Delhi,758078,XXXX-XXXX-4767,uma.roy@example.com,6528471333.0,No,promo applied,6033.55
TX105974,2025-02-04,AC2656,Suresh Sharma,Credit,56.62,GBP,108.3485,2935439.48,Zomato,859511226.0,zomato@biz.com,Health,Pharmacy,India,Mumbai,793747,XXXX-XXXX-7983,suresh.sharma@gmail.com,2176539698.0,No,monthly subscription,6134.69
TX101485,2024-11-29,AC5778,Rohit Nair,Debit,101.4,INR,1.0,986126.23,Zomato,3991186648.0,zomato@biz.com,Education,Books,UAE,Jaipur,352519,XXXX-XXXX-2047,rohit.nair@hotmail.com,9070268492.0,No,cashback credited,101.4
TX103910,2024-11-14,AC2024,Maya Nair,Credit,6.06,USD,75.6366,2120355.15,Starbucks,-6566424683.0,starbucks@biz.com,Electronics,Mobile,USA,Noida,538563,XXXX-XXXX-4145,maya.nair@gmail.com,5508595994.0,No,promo applied,458.36
TX100889,2023-10-23,AC6560,Priya Patel,Credit,125.27,AED,20.9336,528640.45,Starbucks,7759599230.0,starbucks@biz.com,Education,Course,Australia,Jaipur,865648,XXXX-XXXX-XXXX-7926,priya.patel@example.com,33769294.0,No,monthly subscription,2622.35
TX101090,2024-11-21,AC8946,Isha Das,Debit,30.39,USD,77.8394,554511.1,Electroworld,4095764437.0,electroworld@biz.com,Health,Clinic,Australia,Noida,867252,XXXX-XXXX-3874,isha.das@hotmail.com,9746628289.0,No,promo applied,2365.54
